Aika;Alue;val
Vuosi 2020 Viikko 50;Pirkanmaan SHP;169
Vuosi 2020 Viikko 51;Pirkanmaan SHP;108
Vuosi 2020 Viikko 52;Pirkanmaan SHP;85
Vuosi 2020 Viikko 53;Pirkanmaan SHP;71
Vuosi 2021 Viikko 01;Pirkanmaan SHP;77
Vuosi 2021 Viikko 02;Pirkanmaan SHP;13
Vuosi 2021 Viikko 03;Pirkanmaan SHP;
Vuosi 2021 Viikko 04;Pirkanmaan SHP;
Vuosi 2021 Viikko 05;Pirkanmaan SHP;
Vuosi 2021 Viikko 06;Pirkanmaan SHP;
Vuosi 2021 Viikko 07;Pirkanmaan SHP;
Vuosi 2021 Viikko 08;Pirkanmaan SHP;
Vuosi 2021 Viikko 09;Pirkanmaan SHP;
Vuosi 2021 Viikko 10;Pirkanmaan SHP;
Vuosi 2021 Viikko 11;Pirkanmaan SHP;
Vuosi 2021 Viikko 12;Pirkanmaan SHP;
Vuosi 2021 Viikko 13;Pirkanmaan SHP;
Vuosi 2021 Viikko 14;Pirkanmaan SHP;
Vuosi 2021 Viikko 15;Pirkanmaan SHP;
Vuosi 2021 Viikko 16;Pirkanmaan SHP;
Vuosi 2021 Viikko 17;Pirkanmaan SHP;
Vuosi 2021 Viikko 18;Pirkanmaan SHP;
Vuosi 2021 Viikko 19;Pirkanmaan SHP;
Vuosi 2021 Viikko 20;Pirkanmaan SHP;
Vuosi 2021 Viikko 21;Pirkanmaan SHP;
Vuosi 2021 Viikko 22;Pirkanmaan SHP;
Vuosi 2021 Viikko 23;Pirkanmaan SHP;
Vuosi 2021 Viikko 24;Pirkanmaan SHP;
Vuosi 2021 Viikko 25;Pirkanmaan SHP;
Vuosi 2021 Viikko 26;Pirkanmaan SHP;
Vuosi 2021 Viikko 27;Pirkanmaan SHP;
Vuosi 2021 Viikko 28;Pirkanmaan SHP;
Vuosi 2021 Viikko 29;Pirkanmaan SHP;
Vuosi 2021 Viikko 30;Pirkanmaan SHP;
Vuosi 2021 Viikko 31;Pirkanmaan SHP;
Vuosi 2021 Viikko 32;Pirkanmaan SHP;
Vuosi 2021 Viikko 33;Pirkanmaan SHP;
Vuosi 2021 Viikko 34;Pirkanmaan SHP;
Vuosi 2021 Viikko 35;Pirkanmaan SHP;
Vuosi 2021 Viikko 36;Pirkanmaan SHP;
Vuosi 2021 Viikko 37;Pirkanmaan SHP;
Vuosi 2021 Viikko 38;Pirkanmaan SHP;
Vuosi 2021 Viikko 39;Pirkanmaan SHP;
Vuosi 2021 Viikko 40;Pirkanmaan SHP;
Vuosi 2021 Viikko 41;Pirkanmaan SHP;
Vuosi 2021 Viikko 42;Pirkanmaan SHP;
Vuosi 2021 Viikko 43;Pirkanmaan SHP;
Vuosi 2021 Viikko 44;Pirkanmaan SHP;
Vuosi 2021 Viikko 45;Pirkanmaan SHP;
Vuosi 2021 Viikko 46;Pirkanmaan SHP;
Vuosi 2021 Viikko 47;Pirkanmaan SHP;
Vuosi 2021 Viikko 48;Pirkanmaan SHP;
Vuosi 2021 Viikko 49;Pirkanmaan SHP;
Vuosi 2021 Viikko 50;Pirkanmaan SHP;
Vuosi 2021 Viikko 51;Pirkanmaan SHP;
Vuosi 2021 Viikko 52;Pirkanmaan SHP;
Aika;Pirkanmaan SHP;2072
Vuosi 2020 Viikko 01;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 02;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 03;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 04;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 05;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 06;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 07;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 08;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 09;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 10;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 11;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 12;Päijät-Hämeen SHP;5
Vuosi 2020 Viikko 13;Päijät-Hämeen SHP;26
Vuosi 2020 Viikko 14;Päijät-Hämeen SHP;14
Vuosi 2020 Viikko 15;Päijät-Hämeen SHP;12
Vuosi 2020 Viikko 16;Päijät-Hämeen SHP;9
Vuosi 2020 Viikko 17;Päijät-Hämeen SHP;9
Vuosi 2020 Viikko 18;Päijät-Hämeen SHP;2
Vuosi 2020 Viikko 19;Päijät-Hämeen SHP;15
Vuosi 2020 Viikko 20;Päijät-Hämeen SHP;13
Vuosi 2020 Viikko 21;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 22;Päijät-Hämeen SHP;2
Vuosi 2020 Viikko 23;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 24;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 25;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 26;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 27;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 28;Päijät-Hämeen SHP;9
Vuosi 2020 Viikko 29;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 30;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 31;Päijät-Hämeen SHP;0
Vuosi 2020 Viikko 32;Päijät-Hämeen SHP;2
Vuosi 2020 Viikko 33;Päijät-Hämeen SHP;4
Vuosi 2020 Viikko 34;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 35;Päijät-Hämeen SHP;1
Vuosi 2020 Viikko 36;Päijät-Hämeen SHP;22
Vuosi 2020 Viikko 37;Päijät-Hämeen SHP;44
Vuosi 2020 Viikko 38;Päijät-Hämeen SHP;22
Vuosi 2020 Viikko 39;Päijät-Hämeen SHP;15
Vuosi 2020 Viikko 40;Päijät-Hämeen SHP;8
Vuosi 2020 Viikko 41;Päijät-Hämeen SHP;7
Vuosi 2020 Viikko 42;Päijät-Hämeen SHP;17
Vuosi 2020 Viikko 43;Päijät-Hämeen SHP;12
Vuosi 2020 Viikko 44;Päijät-Hämeen SHP;20
Vuosi 2020 Viikko 45;Päijät-Hämeen SHP;17
Vuosi 2020 Viikko 46;Päijät-Hämeen SHP;47
Vuosi 2020 Viikko 47;Päijät-Hämeen SHP;104
Vuosi 2020 Viikko 48;Päijät-Hämeen SHP;215
Vuosi 2020 Viikko 49;Päijät-Hämeen SHP;114
Vuosi 2020 Viikko 50;Päijät-Hämeen SHP;58
Vuosi 2020 Viikko 51;Päijät-Hämeen SHP;56
Vuosi 2020 Viikko 52;Päijät-Hämeen SHP;45
Vuosi 2020 Viikko 53;Päijät-Hämeen SHP;45
Vuosi 2021 Viikko 01;Päijät-Hämeen SHP;40
Vuosi 2021 Viikko 02;Päijät-Hämeen SHP;1
Vuosi 2021 Viikko 03;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 04;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 05;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 06;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 07;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 08;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 09;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 10;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 11;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 12;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 13;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 14;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 15;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 16;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 17;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 18;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 19;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 20;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 21;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 22;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 23;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 24;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 25;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 26;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 27;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 28;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 29;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 30;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 31;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 32;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 33;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 34;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 35;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 36;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 37;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 38;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 39;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 40;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 41;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 42;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 43;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 44;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 45;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 46;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 47;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 48;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 49;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 50;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 51;Päijät-Hämeen SHP;
Vuosi 2021 Viikko 52;Päijät-Hämeen SHP;
Aika;Päijät-Hämeen SHP;1038
Vuosi 2020 Viikko 01;Kymenlaakson SHP;0
Vuosi 2020 Viikko 02;Kymenlaakson SHP;0
Vuosi 2020 Viikko 03;Kymenlaakson SHP;0
Vuosi 2020 Viikko 04;Kymenlaakson SHP;0
Vuosi 2020 Viikko 05;Kymenlaakson SHP;0
Vuosi 2020 Viikko 06;Kymenlaakson SHP;0
Vuosi 2020 Viikko 07;Kymenlaakson SHP;0
Vuosi 2020 Viikko 08;Kymenlaakson SHP;0
Vuosi 2020 Viikko 09;Kymenlaakson SHP;0
Vuosi 2020 Viikko 10;Kymenlaakson SHP;0
Vuosi 2020 Viikko 11;Kymenlaakson SHP;1
Vuosi 2020 Viikko 12;Kymenlaakson SHP;6
Vuosi 2020 Viikko 13;Kymenlaakson SHP;7
Vuosi 2020 Viikko 14;Kymenlaakson SHP;11
Vuosi 2020 Viikko 15;Kymenlaakson SHP;5
Vuosi 2020 Viikko 16;Kymenlaakson SHP;2
Vuosi 2020 Viikko 17;Kymenlaakson SHP;3
Vuosi 2020 Viikko 18;Kymenlaakson SHP;3
Vuosi 2020 Viikko 19;Kymenlaakson SHP;3
Vuosi 2020 Viikko 20;Kymenlaakson SHP;2
Vuosi 2020 Viikko 21;Kymenlaakson SHP;0
Vuosi 2020 Viikko 22;Kymenlaakson SHP;1
Vuosi 2020 Viikko 23;Kymenlaakson SHP;1
Vuosi 2020 Viikko 24;Kymenlaakson SHP;1
Vuosi 2020 Viikko 25;Kymenlaakson SHP;2
Vuosi 2020 Viikko 26;Kymenlaakson SHP;1
Vuosi 2020 Viikko 27;Kymenlaakson SHP;2
Vuosi 2020 Viikko 28;Kymenlaakson SHP;0
Vuosi 2020 Viikko 29;Kymenlaakson SHP;0
Vuosi 2020 Viikko 30;Kymenlaakson SHP;4
Vuosi 2020 Viikko 31;Kymenlaakson SHP;1
Vuosi 2020 Viikko 32;Kymenlaakson SHP;1
Vuosi 2020 Viikko 33;Kymenlaakson SHP;1
Vuosi 2020 Viikko 34;Kymenlaakson SHP;2
Vuosi 2020 Viikko 35;Kymenlaakson SHP;1
Vuosi 2020 Viikko 36;Kymenlaakson SHP;0
Vuosi 2020 Viikko 37;Kymenlaakson SHP;11
Vuosi 2020 Viikko 38;Kymenlaakson SHP;8
Vuosi 2020 Viikko 39;Kymenlaakson SHP;10
Vuosi 2020 Viikko 40;Kymenlaakson SHP;8
Vuosi 2020 Viikko 41;Kymenlaakson SHP;3
Vuosi 2020 Viikko 42;Kymenlaakson SHP;18
Vuosi 2020 Viikko 43;Kymenlaakson SHP;46
Vuosi 2020 Viikko 44;Kymenlaakson SHP;44
Vuosi 2020 Viikko 45;Kymenlaakson SHP;24
Vuosi 2020 Viikko 46;Kymenlaakson SHP;28
Vuosi 2020 Viikko 47;Kymenlaakson SHP;46
Vuosi 2020 Viikko 48;Kymenlaakson SHP;54
Vuosi 2020 Viikko 49;Kymenlaakson SHP;66
Vuosi 2020 Viikko 50;Kymenlaakson SHP;47
Vuosi 2020 Viikko 51;Kymenlaakson SHP;24
Vuosi 2020 Viikko 52;Kymenlaakson SHP;20
Vuosi 2020 Viikko 53;Kymenlaakson SHP;56
Vuosi 2021 Viikko 01;Kymenlaakson SHP;70
Vuosi 2021 Viikko 02;Kymenlaakson SHP;4
Vuosi 2021 Viikko 03;Kymenlaakson SHP;
Vuosi 2021 Viikko 04;Kymenlaakson SHP;
Vuosi 2021 Viikko 05;Kymenlaakson SHP;
Vuosi 2021 Viikko 06;Kymenlaakson SHP;
Vuosi 2021 Viikko 07;Kymenlaakson SHP;
Vuosi 2021 Viikko 08;Kymenlaakson SHP;
Vuosi 2021 Viikko 09;Kymenlaakson SHP;
Vuosi 2021 Viikko 10;Kymenlaakson SHP;
Vuosi 2021 Viikko 11;Kymenlaakson SHP;
Vuosi 2021 Viikko 12;Kymenlaakson SHP;
Vuosi 2021 Viikko 13;Kymenlaakson SHP;
Vuosi 2021 Viikko 14;Kymenlaakson SHP;
Vuosi 2021 Viikko 15;Kymenlaakson SHP;
Vuosi 2021 Viikko 16;Kymenlaakson SHP;
Vuosi 2021 Viikko 17;Kymenlaakson SHP;
Vuosi 2021 Viikko 18;Kymenlaakson SHP;
Vuosi 2021 Viikko 19;Kymenlaakson SHP;
Vuosi 2021 Viikko 20;Kymenlaakson SHP;
Vuosi 2021 Viikko 21;Kymenlaakson SHP;
Vuosi 2021 Viikko 22;Kymenlaakson SHP;
Vuosi 2021 Viikko 23;Kymenlaakson SHP;
Vuosi 2021 Viikko 24;Kymenlaakson SHP;
Vuosi 2021 Viikko 25;Kymenlaakson SHP;
Vuosi 2021 Viikko 26;Kymenlaakson SHP;
Vuosi 2021 Viikko 27;Kymenlaakson SHP;
Vuosi 2021 Viikko 28;Kymenlaakson SHP;
Vuosi 2021 Viikko 29;Kymenlaakson SHP;
Vuosi 2021 Viikko 30;Kymenlaakson SHP;
Vuosi 2021 Viikko 31;Kymenlaakson SHP;
Vuosi 2021 Viikko 32;Kymenlaakson SHP;
Vuosi 2021 Viikko 33;Kymenlaakson SHP;
Vuosi 2021 Viikko 34;Kymenlaakson SHP;
Vuosi 2021 Viikko 35;Kymenlaakson SHP;
Vuosi 2021 Viikko 36;Kymenlaakson SHP;
Vuosi 2021 Viikko 37;Kymenlaakson SHP;
Vuosi 2021 Viikko 38;Kymenlaakson SHP;
Vuosi 2021 Viikko 39;Kymenlaakson SHP;
Vuosi 2021 Viikko 40;Kymenlaakson SHP;
Vuosi 2021 Viikko 41;Kymenlaakson SHP;
Vuosi 2021 Viikko 42;Kymenlaakson SHP;
Vuosi 2021 Viikko 43;Kymenlaakson SHP;
Vuosi 2021 Viikko 44;Kymenlaakson SHP;
Vuosi 2021 Viikko 45;Kymenlaakson SHP;
Vuosi 2021 Viikko 46;Kymenlaakson SHP;
Vuosi 2021 Viikko 47;Kymenlaakson SHP;
Vuosi 2021 Viikko 48;Kymenlaakson SHP;
Vuosi 2021 Viikko 49;Kymenlaakson SHP;
Vuosi 2021 Viikko 50;Kymenlaakson SHP;
Vuosi 2021 Viikko 51;Kymenlaakson SHP;
Vuosi 2021 Viikko 52;Kymenlaakson SHP;
Aika;Kymenlaakson SHP;648
Vuosi 2020 Viikko 01;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 02;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 03;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 04;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 05;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 06;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 07;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 08;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 09;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 10;Etelä-Karjalan SHP;1
Vuosi 2020 Viikko 11;Etelä-Karjalan SHP;1
Vuosi 2020 Viikko 12;Etelä-Karjalan SHP;3
Vuosi 2020 Viikko 13;Etelä-Karjalan SHP;3
Vuosi 2020 Viikko 14;Etelä-Karjalan SHP;2
Vuosi 2020 Viikko 15;Etelä-Karjalan SHP;3
Vuosi 2020 Viikko 16;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 17;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 18;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 19;Etelä-Karjalan SHP;4
Vuosi 2020 Viikko 20;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 21;Etelä-Karjalan SHP;2
Vuosi 2020 Viikko 22;Etelä-Karjalan SHP;4
Vuosi 2020 Viikko 23;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 24;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 25;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 26;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 27;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 28;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 29;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 30;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 31;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 32;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 33;Etelä-Karjalan SHP;2
Vuosi 2020 Viikko 34;Etelä-Karjalan SHP;1
Vuosi 2020 Viikko 35;Etelä-Karjalan SHP;2
Vuosi 2020 Viikko 36;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 37;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 38;Etelä-Karjalan SHP;0
Vuosi 2020 Viikko 39;Etelä-Karjalan SHP;10
Vuosi 2020 Viikko 40;Etelä-Karjalan SHP;9
Vuosi 2020 Viikko 41;Etelä-Karjalan SHP;10
Vuosi 2020 Viikko 42;Etelä-Karjalan SHP;6
Vuosi 2020 Viikko 43;Etelä-Karjalan SHP;10
Vuosi 2020 Viikko 44;Etelä-Karjalan SHP;15
Vuosi 2020 Viikko 45;Etelä-Karjalan SHP;12
Vuosi 2020 Viikko 46;Etelä-Karjalan SHP;11
Vuosi 2020 Viikko 47;Etelä-Karjalan SHP;14
Vuosi 2020 Viikko 48;Etelä-Karjalan SHP;25
Vuosi 2020 Viikko 49;Etelä-Karjalan SHP;24
Vuosi 2020 Viikko 50;Etelä-Karjalan SHP;19
Vuosi 2020 Viikko 51;Etelä-Karjalan SHP;31
Vuosi 2020 Viikko 52;Etelä-Karjalan SHP;16
Vuosi 2020 Viikko 53;Etelä-Karjalan SHP;21
Vuosi 2021 Viikko 01;Etelä-Karjalan SHP;15
Vuosi 2021 Viikko 02;Etelä-Karjalan SHP;1
Vuosi 2021 Viikko 03;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 04;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 05;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 06;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 07;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 08;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 09;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 10;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 11;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 12;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 13;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 14;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 15;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 16;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 17;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 18;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 19;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 20;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 21;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 22;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 23;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 24;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 25;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 26;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 27;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 28;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 29;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 30;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 31;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 32;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 33;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 34;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 35;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 36;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 37;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 38;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 39;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 40;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 41;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 42;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 43;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 44;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 45;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 46;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 47;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 48;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 49;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 50;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 51;Etelä-Karjalan SHP;
Vuosi 2021 Viikko 52;Etelä-Karjalan SHP;
Aika;Etelä-Karjalan SHP;277
Vuosi 2020 Viikko 01;Etelä-Savon SHP;0
Vuosi 2020 Viikko 02;Etelä-Savon SHP;0
Vuosi 2020 Viikko 03;Etelä-Savon SHP;0
Vuosi 2020 Viikko 04;Etelä-Savon SHP;0
Vuosi 2020 Viikko 05;Etelä-Savon SHP;0
Vuosi 2020 Viikko 06;Etelä-Savon SHP;0
Vuosi 2020 Viikko 07;Etelä-Savon SHP;0
Vuosi 2020 Viikko 08;Etelä-Savon SHP;0
Vuosi 2020 Viikko 09;Etelä-Savon SHP;0
Vuosi 2020 Viikko 10;Etelä-Savon SHP;0
Vuosi 2020 Viikko 11;Etelä-Savon SHP;5
Vuosi 2020 Viikko 12;Etelä-Savon SHP;5
Vuosi 2020 Viikko 13;Etelä-Savon SHP;15
Vuosi 2020 Viikko 14;Etelä-Savon SHP;7
Vuosi 2020 Viikko 15;Etelä-Savon SHP;9
Vuosi 2020 Viikko 16;Etelä-Savon SHP;3
Vuosi 2020 Viikko 17;Etelä-Savon SHP;1
Vuosi 2020 Viikko 18;Etelä-Savon SHP;0
Vuosi 2020 Viikko 19;Etelä-Savon SHP;2
Vuosi 2020 Viikko 20;Etelä-Savon SHP;3
Vuosi 2020 Viikko 21;Etelä-Savon SHP;3
Vuosi 2020 Viikko 22;Etelä-Savon SHP;0
Vuosi 2020 Viikko 23;Etelä-Savon SHP;0
Vuosi 2020 Viikko 24;Etelä-Savon SHP;0
Vuosi 2020 Viikko 25;Etelä-Savon SHP;0
Vuosi 2020 Viikko 26;Etelä-Savon SHP;0
Vuosi 2020 Viikko 27;Etelä-Savon SHP;0
Vuosi 2020 Viikko 28;Etelä-Savon SHP;0
Vuosi 2020 Viikko 29;Etelä-Savon SHP;0
Vuosi 2020 Viikko 30;Etelä-Savon SHP;0
Vuosi 2020 Viikko 31;Etelä-Savon SHP;1
Vuosi 2020 Viikko 32;Etelä-Savon SHP;1
Vuosi 2020 Viikko 33;Etelä-Savon SHP;0
Vuosi 2020 Viikko 34;Etelä-Savon SHP;1
Vuosi 2020 Viikko 35;Etelä-Savon SHP;0
Vuosi 2020 Viikko 36;Etelä-Savon SHP;0
Vuosi 2020 Viikko 37;Etelä-Savon SHP;33
Vuosi 2020 Viikko 38;Etelä-Savon SHP;15
Vuosi 2020 Viikko 39;Etelä-Savon SHP;20
Vuosi 2020 Viikko 40;Etelä-Savon SHP;13
Vuosi 2020 Viikko 41;Etelä-Savon SHP;9
Vuosi 2020 Viikko 42;Etelä-Savon SHP;7
Vuosi 2020 Viikko 43;Etelä-Savon SHP;2
Vuosi 2020 Viikko 44;Etelä-Savon SHP;3
Vuosi 2020 Viikko 45;Etelä-Savon SHP;2
Vuosi 2020 Viikko 46;Etelä-Savon SHP;84
Vuosi 2020 Viikko 47;Etelä-Savon SHP;10
Vuosi 2020 Viikko 48;Etelä-Savon SHP;18
Vuosi 2020 Viikko 49;Etelä-Savon SHP;104
Vuosi 2020 Viikko 50;Etelä-Savon SHP;60
Vuosi 2020 Viikko 51;Etelä-Savon SHP;50
Vuosi 2020 Viikko 52;Etelä-Savon SHP;13
Vuosi 2020 Viikko 53;Etelä-Savon SHP;6
Vuosi 2021 Viikko 01;Etelä-Savon SHP;8
Vuosi 2021 Viikko 02;Etelä-Savon SHP;1
Vuosi 2021 Viikko 03;Etelä-Savon SHP;
Vuosi 2021 Viikko 04;Etelä-Savon SHP;
Vuosi 2021 Viikko 05;Etelä-Savon SHP;
Vuosi 2021 Viikko 06;Etelä-Savon SHP;
Vuosi 2021 Viikko 07;Etelä-Savon SHP;
Vuosi 2021 Viikko 08;Etelä-Savon SHP;
Vuosi 2021 Viikko 09;Etelä-Savon SHP;
Vuosi 2021 Viikko 10;Etelä-Savon SHP;
Vuosi 2021 Viikko 11;Etelä-Savon SHP;
Vuosi 2021 Viikko 12;Etelä-Savon SHP;
Vuosi 2021 Viikko 13;Etelä-Savon SHP;
Vuosi 2021 Viikko 14;Etelä-Savon SHP;
Vuosi 2021 Viikko 15;Etelä-Savon SHP;
Vuosi 2021 Viikko 16;Etelä-Savon SHP;
Vuosi 2021 Viikko 17;Etelä-Savon SHP;
Vuosi 2021 Viikko 18;Etelä-Savon SHP;
Vuosi 2021 Viikko 19;Etelä-Savon SHP;
Vuosi 2021 Viikko 20;Etelä-Savon SHP;
Vuosi 2021 Viikko 21;Etelä-Savon SHP;
Vuosi 2021 Viikko 22;Etelä-Savon SHP;
Vuosi 2021 Viikko 23;Etelä-Savon SHP;
Vuosi 2021 Viikko 24;Etelä-Savon SHP;
Vuosi 2021 Viikko 25;Etelä-Savon SHP;
Vuosi 2021 Viikko 26;Etelä-Savon SHP;
Vuosi 2021 Viikko 27;Etelä-Savon SHP;
Vuosi 2021 Viikko 28;Etelä-Savon SHP;
Vuosi 2021 Viikko 29;Etelä-Savon SHP;
Vuosi 2021 Viikko 30;Etelä-Savon SHP;
Vuosi 2021 Viikko 31;Etelä-Savon SHP;
Vuosi 2021 Viikko 32;Etelä-Savon SHP;
Vuosi 2021 Viikko 33;Etelä-Savon SHP;
