Aika;Alue;val
Vuosi 2021 Viikko 49;Ahvenanmaa;
Vuosi 2021 Viikko 50;Ahvenanmaa;
Vuosi 2021 Viikko 51;Ahvenanmaa;
Vuosi 2021 Viikko 52;Ahvenanmaa;
Aika;Ahvenanmaa;112
Vuosi 2020 Viikko 01;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 02;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 03;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 04;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 05;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 06;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 07;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 08;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 09;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 10;Varsinais-Suomen SHP;1
Vuosi 2020 Viikko 11;Varsinais-Suomen SHP;17
Vuosi 2020 Viikko 12;Varsinais-Suomen SHP;20
Vuosi 2020 Viikko 13;Varsinais-Suomen SHP;32
Vuosi 2020 Viikko 14;Varsinais-Suomen SHP;50
Vuosi 2020 Viikko 15;Varsinais-Suomen SHP;59
Vuosi 2020 Viikko 16;Varsinais-Suomen SHP;52
Vuosi 2020 Viikko 17;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 18;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 19;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 20;Varsinais-Suomen SHP;14
Vuosi 2020 Viikko 21;Varsinais-Suomen SHP;19
Vuosi 2020 Viikko 22;Varsinais-Suomen SHP;8
Vuosi 2020 Viikko 23;Varsinais-Suomen SHP;3
Vuosi 2020 Viikko 24;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 25;Varsinais-Suomen SHP;1
Vuosi 2020 Viikko 26;Varsinais-Suomen SHP;10
Vuosi 2020 Viikko 27;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 28;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 29;Varsinais-Suomen SHP;7
Vuosi 2020 Viikko 30;Varsinais-Suomen SHP;9
Vuosi 2020 Viikko 31;Varsinais-Suomen SHP;8
Vuosi 2020 Viikko 32;Varsinais-Suomen SHP;22
Vuosi 2020 Viikko 33;Varsinais-Suomen SHP;19
Vuosi 2020 Viikko 34;Varsinais-Suomen SHP;18
Vuosi 2020 Viikko 35;Varsinais-Suomen SHP;20
Vuosi 2020 Viikko 36;Varsinais-Suomen SHP;7
Vuosi 2020 Viikko 37;Varsinais-Suomen SHP;23
Vuosi 2020 Viikko 38;Varsinais-Suomen SHP;23
Vuosi 2020 Viikko 39;Varsinais-Suomen SHP;21
Vuosi 2020 Viikko 40;Varsinais-Suomen SHP;68
Vuosi 2020 Viikko 41;Varsinais-Suomen SHP;84
Vuosi 2020 Viikko 42;Varsinais-Suomen SHP;76
Vuosi 2020 Viikko 43;Varsinais-Suomen SHP;94
Vuosi 2020 Viikko 44;Varsinais-Suomen SHP;177
Vuosi 2020 Viikko 45;Varsinais-Suomen SHP;147
Vuosi 2020 Viikko 46;Varsinais-Suomen SHP;139
Vuosi 2020 Viikko 47;Varsinais-Suomen SHP;114
Vuosi 2020 Viikko 48;Varsinais-Suomen SHP;190
